NIMA vs TOPIQ 对比结果
==================================================

评分对比:
--------------------------------------------------
  序号 |     NIMA |    TOPIQ |       差异
--------------------------------------------------
   1 |     4.95 |     5.35 |     0.39
   2 |     5.13 |     5.22 |     0.09
   3 |     5.17 |     5.01 |     0.16
   4 |     5.00 |     5.33 |     0.34
   5 |     5.02 |     5.20 |     0.17
   6 |     4.93 |     5.17 |     0.25
   7 |     4.98 |     5.25 |     0.27
   8 |     4.96 |     5.17 |     0.21
   9 |     4.96 |     5.24 |     0.28
  10 |     4.99 |     4.96 |     0.03
  11 |     5.14 |     5.10 |     0.04
  12 |     5.02 |     5.20 |     0.18
  13 |     4.85 |     4.84 |     0.02
  14 |     5.13 |     5.22 |     0.09
  15 |     5.15 |     5.31 |     0.16
  16 |     5.17 |     5.29 |     0.11
  17 |     5.16 |     5.08 |     0.08
  18 |     5.25 |     5.30 |     0.05
  19 |     5.33 |     5.44 |     0.11
  20 |     5.15 |     5.39 |     0.23
